14:8:34,32800,4536,1334,22,
14:8:34,32900,4553,1340,22,
14:8:34,33000,4572,1343,22,
14:8:34,33100,4588,1352,22,
14:8:34,33200,4603,1356,22,
14:8:34,33300,4621,1364,22,
14:8:34,33400,4633,1367,22,
14:8:34,33500,4645,1369,22,
14:8:34,33600,4654,1371,22,
14:8:34,33700,4673,1377,22,
14:8:34,33800,4685,1380,22,
14:8:34,33900,4694,1387,22,
14:8:34,34000,4706,1390,22,
14:8:34,34100,4727,1390,22,
14:8:34,34200,4740,1395,22,
14:8:34,34300,4749,1397,22,
14:8:34,34400,4765,1398,22,
14:8:34,34500,4782,1404,22,
14:8:35,34600,4793,1411,22,
14:8:35,34700,4805,1416,22,
14:8:35,34800,4816,1419,22,
14:8:35,34900,4833,1421,22,
14:8:35,35000,4849,1423,22,
14:8:35,35100,4862,1428,22,
14:8:35,35200,4874,1430,22,
14:8:35,35300,4894,1434,22,
14:8:35,35400,4917,1437,22,
14:8:35,35500,4930,1441,22,
14:8:35,35600,4937,1443,22,
14:8:35,35700,4953,1450,22,
14:8:35,35800,4966,1458,22,
14:8:35,35900,4985,1460,22,
14:8:35,36000,4995,1462,22,
14:8:35,36100,5014,1467,22,
14:8:35,36200,5028,1473,22,
14:8:35,36300,5036,1479,22,
14:8:35,36400,5042,1483,22,
14:8:35,36500,5061,1485,22,
14:8:35,36600,5073,1487,22,
14:8:36,36700,5092,1489,22,
14:8:36,36800,5100,1491,22,
14:8:36,36900,5120,1496,22,
14:8:36,37000,5131,1496,22,
14:8:36,37100,5143,1497,22,
14:8:36,37200,5155,1499,22,
14:8:36,37300,5169,1503,22,
14:8:36,37400,5183,1506,22,
14:8:36,37500,5199,1515,22,
14:8:36,37600,5213,1517,22,
14:8:36,37700,5232,1524,22,
14:8:36,37800,5246,1531,22,
14:8:36,37900,5257,1532,22,
14:8:36,38000,5270,1538,22,
14:8:36,38100,5290,1541,22,
14:8:36,38200,5298,1545,22,
14:8:36,38300,5311,1550,22,
14:8:36,38400,5324,1552,22,
14:8:36,38500,5342,1558,22,
14:8:37,38600,5357,1563,22,
14:8:37,38700,5371,1567,24,
14:8:37,38800,5382,1572,24,
14:8:37,38900,5393,1574,24,
14:8:37,39000,5408,1578,24,
14:8:37,39100,5421,1583,24,
14:8:37,39200,5431,1587,24,
14:8:37,39300,5444,1595,24,
14:8:37,39400,5457,1604,24,
14:8:37,39500,5468,1608,24,
14:8:37,39600,5481,1611,24,
14:8:37,39700,5504,1615,24,
14:8:37,39800,5516,1618,24,
14:8:37,39900,5530,1626,24,
14:8:37,40000,5543,1628,24,
14:8:37,40100,5562,1631,24,
14:8:37,40200,5576,1638,24,
14:8:37,40300,5588,1641,24,
14:8:37,40400,5600,1645,24,
14:8:37,40500,5623,1646,24,
