#section:000000000003, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
002106600,00030100,001272,51,000001,000002,0.0120936
002176200,00030100,001239,21,000004,000003,0.00830369
002180600,00030100,001249,21,000004,000003,0.00917374
002192800,00030100,001343,21,000004,000003,0.010237
002207400,00030100,001405,21,000004,000003,0.0106466
002212800,00030100,001410,21,000004,000003,0.0104721
002218300,00030100,001415,21,000004,000003,0.0103911
002220300,00030100,001417,21,000004,000003,0.00971141
002228800,00020101,001329,21,000002,000003,0.00875868
002244200,00030100,001294,51,000001,000002,0.0120083
002245600,00020101,001297,51,000001,000003,0.01226
002248700,00020101,001300,51,000001,000004,0.0138265
002251100,00030100,001303,51,000001,000002,0.0140671
002253400,00020101,001305,51,000001,000003,0.0139247
002255000,00030100,001307,51,000001,000002,0.0147375
002258500,00020101,001350,51,000001,000003,0.0152537
002259200,00030100,001355,51,000001,000003,0.0150371
002263100,00030100,001394,51,000001,000002,0.0154063
002265400,00020101,001442,51,000001,000004,0.0150553
002267700,00030100,001447,51,000001,000002,0.0149812
002269900,00020101,001448,51,000001,000004,0.0148911
002271300,00030100,001449,51,000001,000003,0.0153779
002273600,00030100,001451,51,000001,000003,0.014523
002274100,00020101,001452,51,000001,000003,0.0154575
002280300,00030100,001457,51,000001,000003,0.0144048
002314900,00030100,001423,21,000004,000003,0.00813091
002348500,00030100,001489,21,000004,000003,0.010102
002350400,00030100,001491,21,000004,000003,0.00920775
002357500,00030100,001495,21,000004,000003,0.0105808
002384200,00030100,001459,51,000001,000002,0.0120083
002386600,00020101,001460,51,000001,000004,0.013036
002388900,00030100,001461,51,000001,000002,0.0135651
002391100,00020101,001462,51,000001,000004,0.0138144
002463100,00030100,001508,21,000004,000003,0.00959425
002477700,00030100,001568,21,000004,000003,0.0104013
002494400,00030100,001581,21,000004,000003,0.0107112
002499900,00030100,001585,21,000004,000003,0.0107349
002509400,00020101,001339,21,000002,000003,0.00885708
002511800,00020101,001341,21,000002,000003,0.00856808
002524200,00020101,001467,51,000001,000004,0.0120083
002525600,00030100,001469,51,000001,000002,0.0122602
002592600,00030100,001592,21,000004,000003,0.00702277
